Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
59,41,47,2011,Marion County,OR,10.6,41,47,OR,Marion,63412,20.5,44275,336,85,251,50,318053,158555,159498,142519,144093,2661,1653,4107,3804,3119,3695,1324,1339,4825,4914,41352,37179,70,1,19,19,31,1893,486,1216,191,3,2011-OR-Marion,20.7
60,41,49,2011,Morrow County,OR,8.3,41,49,OR,Morrow,1790,16.1,46902,27,27,0,50,11226,5786,5440,5443,5134,55,38,113,88,34,54,11,16,130,110,1940,1655,15,0,6,1,8,226,39,170,17,3,2011-OR-Morrow,10.7
61,41,51,2011,Multnomah County,OR,8.5,41,51,OR,Multnomah,142279,19.4,46989,733,105,628,50,749926,370654,379272,300983,305942,22024,21704,5841,5304,23949,27753,2318,2260,15539,16309,42993,38841,45,0,6,4,35,841,111,657,73,3,2011-OR-Multnomah,38.3
62,41,53,2011,Polk County,OR,9.4,41,53,OR,Polk,10452,14.1,52277,60,45,15,50,75942,36804,39138,33503,35747,295,196,945,942,682,848,132,110,1247,1295,4832,4507,30,1,2,0,27,378,106,249,23,3,2011-OR-Polk,28.2
63,41,55,2011,Sherman County,OR,11.2,41,55,OR,Sherman,257,15,52263,7,6,1,50,1750,884,866,852,832,1,3,17,19,1,3,1,0,12,9,54,47,0,0,0,0,0,34,6,24,4,1,2011-OR-Sherman,15.9
64,41,57,2011,Tillamook County,OR,10,41,57,OR,Tillamook,4032,16.2,41246,60,56,4,50,25393,12783,12610,12110,11981,73,30,190,159,94,134,33,35,283,271,1265,1132,15,0,1,2,12,289,114,161,14,2,2011-OR-Tillamook,19.3
65,41,59,2011,Umatilla County,OR,9.6,41,59,OR,Umatilla,12846,17.7,43231,74,49,25,50,76810,40037,36773,36517,33651,547,184,1631,1587,377,427,66,75,899,849,10146,8642,59,2,8,5,44,564,184,293,87,3,2011-OR-Umatilla,15.6
66,41,61,2011,Union County,OR,10.1,41,61,OR,Union,3954,15.8,41510,30,17,13,50,25906,12762,13144,11949,12386,103,43,163,157,110,149,155,131,282,278,541,536,15,0,0,1,14,310,64,227,19,0,2011-OR-Union,21.7
67,41,63,2011,Wallowa County,OR,12.3,41,63,OR,Wallowa,1099,16,38486,13,7,6,50,6979,3425,3554,3319,3416,15,14,26,30,6,16,3,4,56,74,91,80,1,0,0,0,1,37,13,21,3,0,2011-OR-Wallowa,21.3
68,41,65,2011,Wasco County,OR,8.9,41,65,OR,Wasco,4201,17.1,41144,29,16,13,50,25217,12485,12732,11367,11627,72,65,587,563,91,135,81,87,287,255,2140,1846,5,1,0,0,4,112,40,67,5,,2011-OR-Wasco,21.2
69,41,67,2011,Washington County,OR,7.8,41,67,OR,Washington,67522,12.6,62463,539,240,299,50,541041,265927,275114,221756,229032,6099,5018,3061,3069,23512,26364,1414,1352,10085,10279,44032,41657,266,1,66,44,155,2663,566,1909,188,22,2011-OR-Washington,39.5
70,41,69,2011,Wheeler County,OR,8.6,41,69,OR,Wheeler,281,20.1,32491,3,3,0,50,1418,705,713,670,668,0,2,14,8,3,5,0,3,18,27,43,19,,,,,,,,,,,2011-OR-Wheeler,13
