Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
86,53,17,2012,Douglas County,WA,8.3,53,17,WA,Douglas,5751,14.7,48308,34,27,7,50,39192,19717,19475,18508,18310,135,114,417,371,178,240,57,44,422,396,6133,5425,20,0,4,3,13,464,184,257,23,3,2012-WA-Douglas,17.4
87,53,19,2012,Ferry County,WA,14.4,53,19,WA,Ferry,1601,21,36321,23,7,16,50,7668,3965,3703,3060,2819,21,13,662,637,29,49,6,10,187,175,173,130,10,0,1,0,9,29,9,19,1,1,2012-WA-Ferry,14
88,53,21,2012,Franklin County,WA,8.9,53,21,WA,Franklin,14095,17.1,52829,27,25,2,50,85691,44535,41156,40397,37585,1448,917,720,583,878,953,186,153,906,965,22584,21133,19,0,5,2,12,239,84,137,18,0,2012-WA-Franklin,14.8
89,53,23,2012,Garfield County,WA,7,53,23,WA,Garfield,288,13.1,46927,14,7,7,50,2209,1083,1126,1043,1068,2,1,3,4,13,27,0,0,22,26,56,45,7,0,1,0,6,53,16,35,2,1,2012-WA-Garfield,24.6
90,53,25,2012,Grant County,WA,8.7,53,25,WA,Grant,17003,18.8,45050,61,48,13,50,91292,46268,45024,42967,41827,872,678,892,874,461,535,84,70,992,1040,18658,17227,109,3,19,13,74,1266,357,787,122,10,2012-WA-Grant,14.6
91,53,27,2012,Grays Harbor County,WA,11.9,53,27,WA,Grays Harbor,14071,20.4,41823,76,36,40,50,71785,36852,34933,32269,31067,695,194,2025,1768,476,566,135,76,1252,1262,3648,3008,,,,,,,,,,,2012-WA-Grays Harbor,14.4
92,53,29,2012,Island County,WA,7.5,53,29,WA,Island,7421,9.6,56459,57,33,24,50,79086,39330,39756,34444,34307,1193,824,352,385,1419,2298,202,198,1720,1744,2477,2458,72,1,15,2,54,778,326,421,31,4,2012-WA-Island,30.8
93,53,31,2012,Jefferson County,WA,9.1,53,31,WA,Jefferson,3871,13.2,47398,47,41,6,50,29808,14752,15056,13499,13782,212,87,330,345,188,321,38,26,485,495,471,452,43,0,8,1,34,429,143,257,29,4,2012-WA-Jefferson,35.3
94,53,33,2012,King County,WA,6.3,53,33,WA,King,234813,11.9,68944,286,190,96,50,2011708,1001535,1010173,717505,712048,67903,64703,10749,10455,150293,166026,7958,8110,47127,48831,95658,87285,405,7,64,127,207,5555,2436,2525,594,59,2012-WA-King,46
95,53,35,2012,Kitsap County,WA,7.2,53,35,WA,Kitsap,27401,11.2,59354,145,115,30,50,254414,129438,124976,108923,103929,4525,2886,2277,2186,5465,7716,1237,1240,7011,7019,9232,8239,338,2,54,47,235,4317,1287,2711,319,17,2012-WA-Kitsap,28.9
